id,twitter_username,amount,tx_hash,from_address,confirmed,created_at
1,saiyajin9001,0.1,0x7652915d228fecc863c02124cd930d5e23773a6750ae7ed43c668af14d251520,0x871f551c0725dcBA284F572E1793af9061A91e0D,1,2025-06-27 01:16:33
2,ohzarke,0.05,0x78d412cde078e1f40088810fa2eb26c0885991e6f504a374137075d1a9e60abd,0x331cC2E56C657126f7A986419040838Cf446Eb93,1,2025-06-27 01:24:09
3,back2matching,0.03,0x25f7f3c2f8fd9fc9ad9eda7427063bd42f0ceb617e16e66b4f76f6ed8c67bc7c,0xb3bc6906f91181122f6499a32a0d04390ec87273,1,2025-06-28 04:22:47
